Ilce,HasereTuru,RiskSeviyesi,OrtalamaSicaklikC,TavsiyeEdilenPeriyotAy,GeziciEkipSayisi,EnYakinSube
Kadikoy,Fare,Orta,23.5,3,4,TCK Kadikoy Subesi
Kadikoy,Bocek,Orta,24.1,6,5,TCK Kadikoy Subesi
Kadikoy,Pire,Orta,27.2,6,4,TCK Kadikoy Subesi
Kadikoy,Hamam Bocegi,Yuksek,25.5,6,4,TCK Kadikoy Subesi
Kadikoy,Akrep,Yuksek,27.6,3,4,TCK Kadikoy Subesi
Kadikoy,Kene,Orta,25.4,6,2,TCK Kadikoy Subesi
Kadikoy,Tahtakurusu,Yuksek,29.7,6,5,TCK Kadikoy Subesi
Kadikoy,Sivrisinek,Orta,20.8,6,3,TCK Kadikoy Subesi
Sisli,Fare,Orta,20.9,3,4,TCK Sisli Subesi
Sisli,Bocek,Yuksek,28.6,6,4,TCK Sisli Subesi
Sisli,Pire,Yuksek,26.3,6,4,TCK Sisli Subesi
Sisli,Hamam Bocegi,Yuksek,20.4,6,3,TCK Sisli Subesi
Sisli,Akrep,Orta,20.5,3,3,TCK Sisli Subesi
Sisli,Kene,Yuksek,25.3,6,5,TCK Sisli Subesi
Sisli,Tahtakurusu,Yuksek,20.4,6,5,TCK Sisli Subesi
Sisli,Sivrisinek,Orta,22.2,6,2,TCK Sisli Subesi
Besiktas,Fare,Orta,20.6,3,4,TCK Besiktas Subesi
Besiktas,Bocek,Yuksek,29.1,6,4,TCK Besiktas Subesi
Besiktas,Pire,Yuksek,23.1,6,2,TCK Besiktas Subesi
Besiktas,Hamam Bocegi,Yuksek,20.4,6,5,TCK Besiktas Subesi
Besiktas,Akrep,Orta,28.8,3,3,TCK Besiktas Subesi
Besiktas,Kene,Yuksek,25.8,6,2,TCK Besiktas Subesi
Besiktas,Tahtakurusu,Orta,27.9,6,3,TCK Besiktas Subesi
Besiktas,Sivrisinek,Yuksek,24.4,6,2,TCK Besiktas Subesi
Bakirkoy,Fare,Yuksek,28.1,3,3,TCK Bakirkoy Subesi
Bakirkoy,Bocek,Orta,27.6,6,3,TCK Bakirkoy Subesi
Bakirkoy,Pire,Orta,29.1,6,4,TCK Bakirkoy Subesi
Bakirkoy,Hamam Bocegi,Orta,26.5,6,3,TCK Bakirkoy Subesi
Bakirkoy,Akrep,Yuksek,29.5,3,3,TCK Bakirkoy Subesi
Bakirkoy,Kene,Orta,25.2,6,5,TCK Bakirkoy Subesi
Bakirkoy,Tahtakurusu,Yuksek,20.4,6,3,TCK Bakirkoy Subesi
Bakirkoy,Sivrisinek,Orta,28.3,6,3,TCK Bakirkoy Subesi
Pendik,Fare,Orta,24.3,3,3,TCK Pendik Subesi
Pendik,Bocek,Orta,23.2,6,3,TCK Pendik Subesi
Pendik,Pire,Orta,25.1,6,4,TCK Pendik Subesi
Pendik,Hamam Bocegi,Yuksek,24.8,6,3,TCK Pendik Subesi
Pendik,Akrep,Orta,24.9,3,2,TCK Pendik Subesi
Pendik,Kene,Yuksek,29.0,6,2,TCK Pendik Subesi
Pendik,Tahtakurusu,Orta,21.6,6,3,TCK Pendik Subesi
Pendik,Sivrisinek,Yuksek,29.4,6,5,TCK Pendik Subesi
Uskudar,Fare,Orta,24.9,3,2,TCK Uskudar Subesi
Uskudar,Bocek,Yuksek,20.6,6,2,TCK Uskudar Subesi
Uskudar,Pire,Yuksek,22.7,6,3,TCK Uskudar Subesi
Uskudar,Hamam Bocegi,Yuksek,24.1,6,3,TCK Uskudar Subesi
Uskudar,Akrep,Orta,20.8,3,3,TCK Uskudar Subesi
Uskudar,Kene,Yuksek,25.3,6,2,TCK Uskudar Subesi
Uskudar,Tahtakurusu,Orta,26.9,6,4,TCK Uskudar Subesi
Uskudar,Sivrisinek,Yuksek,24.8,6,3,TCK Uskudar Subesi
Maltepe,Fare,Yuksek,27.1,3,5,TCK Maltepe Subesi
Maltepe,Bocek,Yuksek,28.6,6,4,TCK Maltepe Subesi
Maltepe,Pire,Orta,27.7,6,2,TCK Maltepe Subesi
Maltepe,Hamam Bocegi,Orta,27.4,6,5,TCK Maltepe Subesi
Maltepe,Akrep,Orta,25.4,3,5,TCK Maltepe Subesi
Maltepe,Kene,Orta,24.7,6,5,TCK Maltepe Subesi
Maltepe,Tahtakurusu,Yuksek,22.2,6,4,TCK Maltepe Subesi
Maltepe,Sivrisinek,Yuksek,28.1,6,5,TCK Maltepe Subesi
Kartal,Fare,Orta,21.4,3,2,TCK Kartal Subesi
Kartal,Bocek,Orta,21.1,6,3,TCK Kartal Subesi
Kartal,Pire,Orta,28.8,6,4,TCK Kartal Subesi
Kartal,Hamam Bocegi,Yuksek,22.9,6,4,TCK Kartal Subesi
Kartal,Akrep,Yuksek,20.9,3,2,TCK Kartal Subesi
Kartal,Kene,Yuksek,23.2,6,3,TCK Kartal Subesi
Kartal,Tahtakurusu,Yuksek,20.1,6,3,TCK Kartal Subesi
Kartal,Sivrisinek,Yuksek,21.8,6,5,TCK Kartal Subesi
Umraniye,Fare,Orta,23.2,3,3,TCK Umraniye Subesi
Umraniye,Bocek,Yuksek,25.1,6,3,TCK Umraniye Subesi
Umraniye,Pire,Yuksek,20.3,6,5,TCK Umraniye Subesi
Umraniye,Hamam Bocegi,Orta,24.0,6,2,TCK Umraniye Subesi
Umraniye,Akrep,Orta,27.4,3,2,TCK Umraniye Subesi
Umraniye,Kene,Orta,27.1,6,3,TCK Umraniye Subesi
Umraniye,Tahtakurusu,Orta,25.2,6,3,TCK Umraniye Subesi
Umraniye,Sivrisinek,Orta,20.9,6,4,TCK Umraniye Subesi
Atasehir,Fare,Yuksek,22.2,3,5,TCK Atasehir Subesi
Atasehir,Bocek,Orta,26.3,6,4,TCK Atasehir Subesi
Atasehir,Pire,Yuksek,24.2,6,4,TCK Atasehir Subesi
Atasehir,Hamam Bocegi,Orta,28.5,6,5,TCK Atasehir Subesi
Atasehir,Akrep,Yuksek,24.9,3,4,TCK Atasehir Subesi
Atasehir,Kene,Orta,23.2,6,4,TCK Atasehir Subesi
Atasehir,Tahtakurusu,Yuksek,26.3,6,5,TCK Atasehir Subesi
Atasehir,Sivrisinek,Orta,20.8,6,3,TCK Atasehir Subesi
Sariyer,Fare,Yuksek,27.9,3,2,TCK Sariyer Subesi
Sariyer,Bocek,Yuksek,25.7,6,2,TCK Sariyer Subesi
